
A,17,159,1082,394,17,394,1082,159
B,1083,160,1353,1719,1083,1719,1353,160
C,1354,1577,2696,1675,1354,1675,2696,1577
D,2461,204,2597,1418,2461,1418,2597,204
E,2461,130,2724,244,2461,244,2724,130
F,2725,30,3730,213,2725,213,3730,30
G,3731,30,4175,262,3731,262,4175,30
H,4176,122,4434,2068,4176,2068,4434,122
I,2630,193,2818,1063,2630,1063,2818,193
J,2626,1559,2853,1671,2626,1671,2853,1559
K,2591,1573,2697,1857,2591,1857,2697,1573
L,2723,1674,2845,1857,2723,1857,2845,1674
M,1237,1720,1360,3134,1237,3134,1360,1720
M,1361,1763,1466,3134,1361,3134,1466,1763
N,1295,3135,1448,3946,1295,3946,1448,3135
O,2658,1858,2905,3779,2658,3779,2905,1858
P,1336,3871,1610,3989,1336,3989,1610,3871
Q,1338,3947,1448,4859,1338,4859,1448,3947
R,1561,3928,1712,4778,1561,4778,1712,3928
S,1611,3802,2761,3900,1611,3900,2761,3802
T,2715,3780,3014,3900,2715,3900,3014,3780
U,2716,3797,2819,5064,2716,5064,2819,3797
V,2911,3901,2938,4361,2911,4361,2938,3901
W,1394,4813,1725,4929,1394,4929,1725,4813
X,2835,5206,3116,5324,2835,5324,3116,5206
Y,3007,5206,4095,5308,3007,5308,4095,5206
Z,4438,3108,4527,4735,4438,4735,4527,3108
C,1307,1664,2589,1762,1307,1762,2589,1664
D,2556,670,2627,1406,2556,1406,2627,670
D,2556,1069,2667,1576,2556,1576,2667,1069
F,2681,130,3681,232,2681,232,3681,130
I,2715,1064,2855,1673,2715,1673,2855,1064
K,2698,1675,2722,1857,2698,1857,2722,1675
O,2906,2850,3011,3882,2906,3882,3011,2850
Q,1449,4118,1494,4859,1449,4859,1494,4118
R,1624,4611,1729,4859,1624,4859,1729,4611
S,1611,3901,2715,3971,1611,3971,2715,3901
U,2818,3937,2893,4749,2818,4749,2893,3937
V,2939,3901,3006,5206,2939,5206,3006,3901
U,2820,4750,2937,5220,2820,5220,2937,4750
V,3007,3901,3105,5270,3007,5270,3105,3901
